raceId,max,UQ,median,mean,LQ,min
337,131274.0,125043,122656,123994.8826754386,120889,114658.0
338,111373.5,99126,92981,101076.80957562568,90961,78713.5
339,113019.0,105120,101804,104026.1171950048,99854,91955.0
340,130824.5,117932,112433,118109.44670050761,109337,96444.5
341,94836.0,90150,88244,89306.26666666666,87026,82340.0
342,91095.0,83067,79853,85808.72845763939,77715,69687.0
343,100115.5,94903,92738,93885.030162413,91428,86215.5
344,87618.5,83222,81382,82746.44152249135,80291,75894.5
345,111618.5,105473,102914,107433.16067146283,101376,95230.5
346,105748.5,99525,97257,99351.35216240071,95376,89152.5
347,85736.0,81233,79656,80806.17366136034,78231,73728.0
348,95927.5,89869,87588,89089.87599709934,85830,79771.5
349,145016.0,126020,116334,122916.42608695652,113356,94360.0
350,93763.0,89260,87450,88298.86968325792,86258,81755.0
351,125079.0,117807,114301,118746.38921161825,112959,105687.0
352,110833.0,102400,98271,104808.70215053763,96778,88345.0
353,224966.5,159664,126438,198826.32452142207,116129,50826.5
354,83665.5,79692,77919,80874.46027895695,77043,73069.5
355,114702.0,108417,105999,110506.40690817186,104227,97942.0
